證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2207","和泰車","222878","135254756","609.00","611.00","603.00","605.00","-1.0000","480"
"2208","台船","2197261","39678366","18.00","18.20","17.90","18.05","-0.1500","1326"
"2211","長榮鋼","1257305","172647348","136.50","139.50","134.50","139.00","2.5000","1242"
"2227","裕日車","36182","5006199","138.00","139.00","138.00","138.00","-1.0000","1093"
"2228","劍麟","276519","30851681","110.00","112.50","110.00","112.00","1.0000","271"
"2231","為升","393071","45220144","114.50","116.00","114.00","115.00","-0.5000","421"
"2233","宇隆","97153","12897188","132.00","133.00","132.00","132.50","0.0000","139"
"2236","百達-KY","3482422","271610602","74.10","81.00","73.60","78.50","4.4000","1888"
"2239","英利-KY","67195","3849616","57.60","57.70","57.10","57.10","-0.8000","97"
"2241","艾姆勒","10811456","538073242","49.00","51.50","48.15","49.00","-0.6000","6630"
"2243","宏旭-KY","248504","4262906","17.10","17.40","16.70","17.15","0.0500","176"
"2247","汎德永業","44991","14461519","321.50","322.50","320.50","322.50","0.0000","128"
"2250","IKKA-KY","2124907","263254086","117.00","127.50","114.00","127.50","11.5000","1615"
"2254","巨鎧精密-創","462000","40827100","88.60","91.00","85.90","91.00","0.0000","197"
"2258","鴻華先進-創","195800","8565190","43.55","43.85","43.35","43.80","0.3500","102"
"2301","光寶科","64159533","7228691033","111.50","115.00","110.00","114.50","2.5000","39421"
"2302","麗正","5178010","101215756","20.30","20.30","19.00","19.35","-0.4500","2285"
"2303","聯電","73376025","4033327311","55.00","55.50","54.60","54.60","-1.4000","56959"
"2305","全友","295775","6614685","22.10","22.65","22.00","22.50","0.3000","191"
"2308","台達電","7969744","2621829682","327.00","332.50","325.00","328.00","-1.5000","10926"
"2312","金寶","10337576","170723561","16.45","16.70","16.35","16.45","0.0000","3299"
"2313","華通","20793926","1589736266","77.40","77.80","75.70","76.10","-2.1000","12186"
"2314","台揚","1556247","51431213","32.60","33.40","32.05","33.15","0.5500","1188"
"2316","楠梓電","2126170","95052283","44.90","45.20","44.40","44.90","-0.3500","1774"
"2317","鴻海","72217014","12590363373","172.00","176.00","171.00","176.00","3.0000","46278"
"2321","東訊","11774","182175","16.35","16.35","15.25","16.00","-0.3000","15"
"2323","中環","8243297","101333006","12.30","12.45","12.10","12.30","-0.1000","2598"
"2324","仁寶","53535432","2061403889","38.20","39.10","37.95","38.50","0.3500","24004"
"2327","國巨","2622497","1700228687","635.00","655.00","633.00","651.00","13.0000","4352"
"2328","廣宇","2728241","95101546","35.00","35.25","34.50","35.15","-0.0500","1884"
"2329","華泰","4547161","270353072","59.10","60.50","58.60","59.40","-0.4000","3192"
"2330","台積電","37353467","32358555678","858.00","872.00","858.00","867.00","-8.0000","50611"
"2331","精英","7709326","236472151","30.80","31.35","30.05","31.20","0.2500","3310"
"2332","友訊","2384922","43975930","18.20","18.70","18.10","18.35","0.1500","1219"
"2337","旺宏","5138622","136448055","26.55","26.70","26.45","26.50","-0.2000","2678"
"2338","光罩","983923","69172561","70.10","71.00","69.30","71.00","0.6000","1033"
"2340","台亞","4748909","189778599","39.25","40.50","38.40","40.50","1.2500","2739"
"2342","茂矽","316020","9918279","31.40","31.80","31.10","31.80","0.3500","454"
"2344","華邦電","28902357","750033343","25.70","26.30","25.65","25.85","0.1500","8423"
"2345","智邦","3691626","1900409450","510.00","526.00","506.00","512.00","2.0000","5025"
"2347","聯強","11247836","926331650","82.70","83.60","81.40","83.40","0.7000","7326"
"2348","海悅","1443491","279619780","196.00","197.00","190.50","195.50","-3.5000","1713"
"2348A","海悅甲特","1000","33700","33.70","33.70","33.70","33.70","0.1000","1"
"2349","錸德","2315843","19324258","8.35","8.43","8.23","8.42","0.0600","817"
"2351","順德","840495","98272571","116.00","118.50","115.00","117.50","0.5000","596"
"2352","佳世達","12503426","494887180","39.40","40.05","39.05","39.60","0.2000","6770"
"2353","宏碁","161198273","8981170693","52.80","58.10","51.70","57.50","4.2000","81074"
"2354","鴻準","26705334","1723680514","64.10","65.20","63.10","65.00","-0.3000","16335"
"2355","敬鵬","2043825","88636427","43.35","43.90","42.85","43.60","0.0500","1381"
"2356","英業達","23794853","1299742541","53.80","55.00","53.70","55.00","1.0000","12619"
"2357","華碩","10945610","5639258744","508.00","524.00","503.00","519.00","-1.0000","9656"
"2359","所羅門","77614072","13300861224","166.00","176.00","166.00","171.50","8.5000","51511"
"2360","致茂","3461251","968928488","275.00","283.00","275.00","281.50","1.5000","4848"
"2362","藍天","2783587","170343787","60.00","62.20","60.00","61.60","0.0000","2265"
"2363","矽統","113817202","7145204950","59.00","65.00","58.50","62.30","2.9000","58691"
"2364","倫飛","98406","8568733","86.10","87.80","86.10","87.80","1.7000","204"
"2365","昆盈","146623996","4382838487","30.00","30.90","28.90","29.90","1.7500","56821"
"2367","燿華","79913401","3004182555","37.60","38.60","36.80","37.35","-0.9000","35282"
"2368","金像電","7741288","1565350676","202.00","204.00","199.00","203.00","1.5000","5714"
"2369","菱生","2307258","51138730","21.80","22.40","21.65","22.10","0.1000","1372"
"2371","大同","43414160","2391645852","54.80","56.30","53.90","55.40","0.0000","20671"
"2373","震旦行","53079","3939561","74.50","74.50","74.00","74.10","-0.1000","59"
"2374","佳能","7994723","459893310","55.60","59.60","55.50","59.60","2.0000","5375"
"2375","凱美","2156237","145756856","64.70","68.40","64.60","67.80","2.4000","1739"
"2376","技嘉","8887597","2826900656","315.00","322.00","315.00","319.00","2.0000","8198"
"2377","微星","11135498","2074760722","184.00","189.00","181.00","187.00","0.5000","15394"
"2379","瑞昱","2365813","1253963212","532.00","534.00","528.00","528.00","-11.0000","2957"
"2380","虹光","131358","872829","6.64","6.67","6.62","6.64","0.0100","198"
"2382","廣達","22866514","6547282082","283.00","289.00","282.50","286.50","2.5000","17405"
"2383","台光電","2189093","940825938","425.50","433.50","424.00","430.50","0.0000","2478"
"2385","群光","2543827","481801603","190.00","191.00","187.50","190.50","-0.5000","2241"
"2387","精元","558622","34022207","60.50","61.30","60.30","61.10","0.2000","434"
"2388","威盛","2040198","233092503","113.50","115.00","113.00","114.50","0.0000","1525"
"2390","云辰","390969","5089162","13.05","13.15","12.90","13.10","0.1000","530"
"2392","正崴","57342948","4199007656","73.20","74.50","71.60","72.20","-1.1000","26799"
"2393","億光","3145605","220210553","69.90","70.50","69.50","70.30","0.2000","2770"
"2395","研華","1015487","362170219","356.50","359.00","355.00","356.00","-5.5000","1047"
"2397","友通","203073","13758824","66.80","68.30","66.80","68.10","1.3000","237"
"2399","映泰","749384","15717559","21.00","21.25","20.80","20.85","0.0500","581"
"2401","凌陽","5008093","156001990","30.65","31.45","30.15","31.30","0.6500","2947"
"2402","毅嘉","1887154","64178527","33.50","34.40","33.35","34.30","0.7000","1077"
"2404","漢唐","2834791","1004530804","355.50","359.50","351.00","354.50","-1.0000","3076"
"2405","輔信","16700316","339279228","19.75","20.75","19.40","20.35","0.4500","6457"
"2406","國碩","6372914","140908477","22.45","22.50","21.90","22.15","-0.4500","2752"
"2408","南亞科","10130532","654334966","64.00","65.30","63.80","64.40","0.2000","3953"
"2409","友達","22736064","410620456","17.95","18.20","17.85","18.20","0.2000","7537"
"2412","中華電","18186831","2317198089","127.00","128.00","126.00","127.00","0.0000","7755"
"2413","環科","99759","2476810","24.45","24.90","24.45","24.90","0.3000","87"
"2414","精技","125497","4589949","36.55","36.65","36.50","36.60","0.0500","88"
"2415","錩新","55307","1488930","26.90","27.10","26.80","26.85","-0.0500","74"
"2417","圓剛","4490900","190028615","41.30","43.30","40.40","42.65","0.7000","3419"
"2419","仲琦","1164970","37395894","31.50","32.45","31.15","32.00","0.5000","917"
"2420","新巨","4082485","276600281","67.70","69.70","65.70","68.60","0.9000","2747"
"2421","建準","4096825","457413258","112.50","112.50","110.50","112.00","-1.5000","3369"
"2423","固緯","402702","17004456","41.75","42.55","41.60","42.50","0.7500","318"
"2424","隴華","163797","4847529","27.80","29.90","27.80","29.90","2.7000","204"
"2425","承啟","540252","20263137","37.35","37.90","37.20","37.30","-0.2000","393"
"2426","鼎元","224665","4007149","17.80","17.90","17.65","17.90","0.0500","193"
"2427","三商電","1328075","35601341","26.70","27.00","26.55","26.95","-0.0500","804"
"2428","興勤","686443","114454651","164.00","170.00","163.00","167.00","2.5000","604"
"2429","銘旺科","91000","1823300","20.00","20.20","19.90","20.00","-0.0500","50"
"2430","燦坤","36733","1322880","36.05","36.30","35.95","36.05","0.0000","120"
"2431","聯昌","350120","4440615","12.65","12.80","12.50","12.75","0.0000","178"
"2432","倚天酷碁-創","14000","533400","38.45","38.45","38.00","38.10","-0.3500","12"
"2433","互盛電","23110","1233485","53.40","53.60","53.10","53.50","0.3000","21"
"2434","統懋","12443","416237","33.50","33.80","33.30","33.60","0.1000","19"
"2436","偉詮電","353409","21473437","60.80","61.10","60.10","60.90","0.0000","323"
"2438","翔耀","45786","1016537","22.10","22.30","22.10","22.20","-0.0500","58"
"2439","美律","836067","101731794","120.50","123.00","120.00","122.00","1.5000","639"
"2440","太空梭","1114019","19463345","17.30","17.70","17.10","17.30","-0.4000","695"
"2441","超豐","779681","48175989","61.90","62.00","61.40","61.90","-0.1000","666"
"2442","新美齊","2663377","83786942","30.95","31.85","30.80","31.80","0.6500","1515"
"2444","兆勁","498011","6223193","12.55","12.70","12.35","12.50","-0.0500","269"
"2449","京元電子","8321238","735139557","88.20","89.20","87.10","88.40","0.2000","6357"
"2450","神腦","99814","3983632","39.90","39.95","39.80","39.90","-0.0500","101"
"2451","創見","1343148","148578511","109.00","112.00","108.50","112.00","2.0000","1649"
"2453","凌群","7523446","511175836","66.60","69.90","65.00","67.30","0.0000","6736"
"2454","聯發科","4139304","4961445325","1190.00","1205.00","1190.00","1195.00","-10.0000","6168"
"2455","全新","1278508","183796357","144.00","145.00","142.00","143.50","-1.5000","1172"
"2457","飛宏","1554199","77787778","50.50","50.50","49.80","50.20","-0.4000","1304"
"2458","義隆","2770565","462896023","168.00","169.50","165.50","167.00","-2.0000","11619"
"2459","敦吉","56312","4049146","72.20","72.20","71.60","72.00","-0.3000","65"
"2460","建通","3165691","111519517","33.05","36.35","33.00","35.65","0.7500","2055"
"2461","光群雷","648238","15938187","24.60","24.70","24.40","24.70","0.0500","454"
"2462","良得電","304059","10370542","33.60","34.35","33.55","34.25","0.4500","236"
"2464","盟立","40468944","2453480252","58.00","62.80","56.90","62.00","3.3000","25268"
"2465","麗臺","3017356","373085540","124.50","126.50","122.50","122.50","-4.0000","2565"
"2466","冠西電","39000","1442200","36.90","37.00","36.90","37.00","-0.2500","15"
"2467","志聖","2993445","415159877","138.00","140.50","136.00","138.50","0.5000","2500"
"2468","華經","265414","7055348","26.70","26.95","26.10","26.80","-0.1000","251"
"2471","資通","127984","7242553","56.30","56.80","56.10","56.80","0.1000","161"
"2472","立隆電","2397754","187485944","76.80","79.00","76.20","78.30","2.0000","1589"
"2474","可成","3003244","676559387","225.50","227.50","224.00","225.50","-2.5000","2443"
"2476","鉅祥","5272887","478122970","89.20","92.40","88.90","91.80","2.3000","3601"
"2477","美隆電","45159","976172","21.60","21.70","21.55","21.60","-0.1000","75"
"2478","大毅","812008","41220250","49.10","51.60","48.85","51.60","2.5000","710"
"2480","敦陽科","54753","6920271","126.00","127.00","126.00","126.50","0.0000","146"
"2481","強茂","747798","41358823","55.10","55.80","54.60","55.70","0.1000","564"
"2482","連宇","719613","24041996","33.40","34.00","32.80","34.00","0.6000","628"
"2483","百容","1730345","44880063","26.35","26.55","25.55","25.70","-0.8500","1112"
"2484","希華","301508","9623717","31.70","32.10","31.65","31.95","0.1500","254"
"2485","兆赫","2185199","45330049","20.20","21.00","20.10","20.55","0.2000","1301"
"2486","一詮","104899585","9735424482","92.50","95.60","89.50","91.00","-0.5000","56295"
"2488","漢平","201063","9493864","47.15","47.45","46.90","47.15","0.0500","194"
"2489","瑞軒","52806816","1004704623","17.60","19.35","17.45","19.35","1.7500","17795"
"2491","吉祥全","185852","2974888","15.90","16.30","15.70","16.10","0.2000","160"
"2492","華新科","2155261","237794337","108.50","111.50","108.00","111.00","1.5000","1464"
"2493","揚博","140443","12835785","91.60","91.80","90.70","91.40","-0.1000","224"
"2495","普安","4176540","106714245","25.05","25.85","24.80","25.55","0.3500","2095"
"2496","卓越","20122","1461457","72.80","72.90","72.40","72.80","0.0000","164"
"2497","怡利電","658662","37008887","55.50","57.00","54.90","56.10","1.0000","570"
"2498","宏達電","2880647","120878558","41.90","42.30","41.80","42.05","-0.4500","2221"
"2501","國建","11012472","354907606","32.40","32.60","31.75","32.30","0.0000","5677"
"2504","國產","15349270","711562512","44.45","47.00","44.35","47.00","2.2000","7102"
"2505","國揚","1138768","30408536","26.60","26.95","26.50","26.65","-0.4000","1175"
"2506","太設","1569898","17766648","11.40","11.40","11.20","11.35","-0.0500","580"
"2509","全坤建","580591","13133246","22.65","22.95","22.15","22.90","0.2500","496"
"2511","太子","2846193","32952417","11.60","11.70","11.50","11.55","-0.1500","1035"
"2514","龍邦","2968954","65158569","21.95","22.55","21.40","21.90","-0.1000","1469"
"2515","中工","16807184","260773556","15.25","15.75","15.15","15.65","0.3000","4750"
"2516","新建","651494","7389901","11.30","11.45","11.30","11.35","-0.0500","316"
"2520","冠德","6341999","339423940","53.80","54.30","52.80","53.60","-0.3000","4599"
"2524","京城","501478","23678246","47.80","47.95","46.75","47.05","-0.7500","404"
"2527","宏璟","1333834","60445244","45.10","46.30","44.80","45.20","0.0000","984"
"2528","皇普","715710","33760280","47.35","47.50","46.70","47.15","-0.5500","458"
"2530","華建","996399","46642424","46.20","47.75","45.80","47.20","1.0000","576"
"2534","宏盛","1107377","27540885","25.00","25.10","24.65","24.90","-0.1000","780"
