證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3019","亞光","864324","58499096","68.70","68.80","66.90","67.20","-0.8000","766"
"3021","鴻名","229739","5494833","24.30","24.30","23.70","23.90","-0.3500","175"
"3022","威強電","2000768","165907526","84.30","84.60","81.70","82.10","-3.2000","1645"
"3023","信邦","604453","176924640","294.50","295.50","291.00","291.50","-7.0000","2899"
"3024","憶聲","4403031","96485880","22.45","22.55","21.65","21.90","-0.5500","1789"
"3025","星通","826504","57305383","70.00","70.20","68.70","68.70","-1.3000","728"
"3026","禾伸堂","181494","17858229","98.80","98.80","98.30","98.30","-0.5000","341"
"3027","盛達","1326558","51663035","39.95","39.95","38.45","38.60","-1.9000","993"
"3028","增你強","523670","18691510","35.95","35.95","35.60","35.65","-0.3000","474"
"3029","零壹","3081094","245919288","80.50","81.10","78.90","79.80","-0.2000","4034"
"3030","德律","6555810","1148618726","169.00","179.50","165.50","176.00","8.0000","6624"
"3031","佰鴻","1354119","29209616","22.30","22.30","21.25","21.25","-1.0500","767"
"3032","偉訓","2228183","159936391","72.70","72.70","71.00","71.00","-3.4000","1717"
"3033","威健","7975444","299572833","38.15","38.30","37.20","37.55","-0.7000","4639"
"3034","聯詠","3844355","2299531822","598.00","602.00","595.00","595.00","-11.0000","4756"
"3035","智原","5888540","1744806641","301.00","302.50","291.50","296.50","-4.5000","8868"
"3036","文曄","3658645","420816871","115.50","116.50","114.00","114.50","-0.5000","3266"
"3036A","文曄甲特","29055","1375151","47.35","47.35","47.25","47.35","0.0000","19"
"3037","欣興","6573330","1204819200","184.00","185.00","182.00","182.50","-1.5000","5768"
"3038","全台","747367","24056864","32.65","32.65","31.85","31.85","-1.0000","672"
"3040","遠見","230414","7880713","35.00","35.00","33.85","33.90","-0.9000","387"
"3041","揚智","686304","14926021","22.10","22.10","21.55","21.70","-0.2000","635"
"3042","晶技","3142768","366884314","114.00","117.50","114.00","117.00","3.0000","2571"
"3043","科風","94562","2929575","31.55","31.55","30.80","30.80","-0.7000","177"
"3044","健鼎","6368826","1349583785","213.50","214.50","210.00","213.00","-1.5000","4022"
"3045","台灣大","5831167","622815409","106.50","107.50","106.50","107.00","0.0000","2426"
"3046","建碁","409528","26163493","65.10","65.10","63.10","63.10","-1.1000","572"
"3047","訊舟","97070899","2592222055","26.95","28.20","25.40","26.55","0.6500","38782"
"3048","益登","8825560","274735450","32.40","32.75","30.15","30.45","-1.8500","5689"
"3049","精金","1480850","12459002","8.50","8.50","8.34","8.35","-0.1600","528"
"3050","鈺德","299792","6321320","21.30","21.40","20.90","21.05","-0.1500","239"
"3051","力特","1120345","36848822","33.45","33.55","32.65","32.85","-0.6000","825"
"3052","夆典","1663487","22243418","13.85","13.85","13.20","13.30","-0.4000","571"
"3054","立萬利","29600","598693","20.35","20.35","20.05","20.05","-0.3000","23"
"3055","蔚華科","2254296","185352679","84.50","84.80","80.80","81.50","-2.5000","1692"
"3056","富華新","4231282","149864413","36.00","36.05","34.85","35.35","-0.3000","3670"
"3057","喬鼎","375635","5182101","13.90","14.40","13.60","13.65","-0.3500","522"
"3058","立德","1627904","33067887","20.75","20.75","20.15","20.15","-0.5000","875"
"3059","華晶科","6168737","257971497","43.05","43.05","41.10","41.35","-1.6500","5227"
"3060","銘異","4576735","143898217","32.00","32.60","30.85","31.00","-1.0000","2841"
"3062","建漢","3678701","90018827","24.70","24.90","24.20","24.40","0.1000","1734"
"3090","日電貿","613166","41987110","69.00","69.00","68.00","68.00","-0.9000","533"
