src,date,title,url,pic_url
經濟日報 記者蔡靜紋／台北即時報導,2024-06-03 17:27,不讓黃仁勳概念股專美 證交所引資概念股40檔名單曝光,https://money.udn.com/money/story/5607/8006932?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_2.jpg
經濟日報 記者王奐敏／台北即時報導,2024-06-03 17:11,上櫃公司2023年員工薪酬統計 這家平均年薪345.9萬元排第一,https://money.udn.com/money/story/11074/8006893?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/31/2/29738487.jpg&s=Y&x=0&y=348&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者楊伶雯／台北即時報導,2024-06-04 11:30,台股休息 6檔黃仁勳概念股續漲停 其中兩檔飆上天價,https://money.udn.com/money/story/5607/8008456?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29753349.jpg&s=Y&x=0&y=0&sw=5307&sh=3474&sl=W&fw=300&exp=3600
經濟日報 本報訊,2024-06-04 04:24,6月4日 五件財經大事搶先看,https://money.udn.com/money/story/5607/8007808?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg
經濟日報 記者廖賢龍／台北報導,2024-06-03 21:52,入手價只要十分之一！AI 之王輝達投資門檻將下調 股票分割「一拆十」要怎麼買？,https://money.udn.com/money/story/5607/8007351?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/2/29755388.jpg&s=Y&x=48&y=0&sw=1199&sh=799&sl=W&fw=300&exp=3600
經濟日報 記者崔馨方／台北即時報導,2024-06-03 18:31,"麥格理大升聯發科目標價至1,420元！ASIC 市場前景亮",https://money.udn.com/money/story/5710/8007070?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/07/2/29622501.jpg&s=Y&x=36&y=0&sw=1075&sh=717&sl=W&fw=300&exp=3600
經濟日報 記者尹慧中/新竹即時報導,2024-06-04 09:14,台積電股東會／劉德音：公司股價強勁、續替股東創造最大價值,https://money.udn.com/money/story/5607/8007999?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/31/2/29741570.jpg&s=Y&x=0&y=0&sw=1277&sh=852&sl=W&fw=300&exp=3600
經濟日報 記者楊伶雯／台北即時報導,2024-06-04 13:01,多檔黃仁勳概念股下跌 法人曝這時該買的是…,https://money.udn.com/money/story/5607/8008738?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29755450.jpg&s=Y&x=48&y=0&sw=1320&sh=881&sl=W&fw=300&exp=3600
經濟日報 記者馬琬淳/台北即時報導,2024-06-03 16:28,黃仁勳談巨大打造自動化工廠 自行車雙雄股價強漲,https://money.udn.com/money/story/5607/8006774?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_3.jpg
經濟日報 記者王奐敏／台北報導,2024-06-04 02:54,輝達 CEO 黃仁勳大讚台鏈 台股 AI 帶頭衝內資力挺,https://money.udn.com/money/story/5607/8007611?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/29/2/29729391.jpg&s=Y&x=0&y=0&sw=1238&sh=825&sl=W&fw=300&exp=3600
經濟日報 記者陳昱翔／台北報導,2024-06-04 00:28,元晶、茂迪日本大搶市,https://money.udn.com/money/story/5607/8007197?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/2/29755798.jpg&s=Y&x=40&y=0&sw=1224&sh=816&sl=W&fw=300&exp=3600
經濟日報 記者徐牧民/台北即時報導,2024-06-04 11:01,精英 AI PC COMPUTEX 盛大發表 股價爆量上漲 成交量排名個股第二,https://money.udn.com/money/story/5710/8008342?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/31/realtime/29742775.jpg&s=Y&x=0&y=24&sw=3222&sh=2148&sl=W&fw=300&exp=3600
經濟日報 記者崔馨方／即時報導,2024-06-04 13:47,"台股回檔跌180點收21,356點  台積電收839元跌7元",https://money.udn.com/money/story/5607/8008863?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/30/2/29735603.jpg&s=Y&x=0&y=0&sw=1277&sh=852&sl=W&fw=300&exp=3600
經濟日報 記者李孟珊／台北報導,2024-06-04 00:35,宜鼎攻 AI 效益將顯現,https://money.udn.com/money/story/11074/8007264?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/03/27/2/29293043.jpg&s=Y&x=0&y=0&sw=1277&sh=852&sl=W&fw=300&exp=3600
經濟日報 記者王皓正／台北報導,2024-06-04 00:33,10檔技術面強勢股 多頭指標,https://money.udn.com/money/story/5607/8007186?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/17/2/29674532.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者尹慧中／台北報導,2024-06-04 00:38,京鼎上修全年營運展望,https://money.udn.com/money/story/5710/8007267?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/01/18/realtime/28768970.jpg&s=Y&x=0&y=0&sw=2713&sh=1809&sl=W&fw=300&exp=3600
