src,pic_url,title,url,date
經濟日報 記者劉芳妙／台北即時報導,https://udn.com/upf/2017_news/noimg_cid1001_5.jpg,AI 應用將逐步完善推升消費者需求 估2025年 AI NB 滲透率達20.4%,https://money.udn.com/money/story/5612/8023458?from=edn_hottestlist_rank,2024-06-11 15:40
經濟日報 記者吳凱中／台北即時報導,https://udn.com/upf/2017_news/noimg_cid1001_8.jpg,振樺電股東會／三大事業齊揚 AI 相關業務營收比重挑戰三成,https://money.udn.com/money/story/5612/8023575?from=edn_hottestlist_rank,2024-06-11 16:12
經濟日報 記者馬琬淳∕台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/08/2/29629300.jpg&s=Y&x=0&y=0&sw=797&sh=531&sl=W&fw=300&exp=3600,中國大陸歐線集運大跌 貨櫃三雄盤中集體失速重挫,https://money.udn.com/money/story/5710/8022682?from=edn_hottestlist_rank,2024-06-11 11:20
經濟日報 記者謝柏宏／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/07/realtime/29620751.jpg&s=Y&x=50&y=0&sw=1317&sh=879&sl=W&fw=300&exp=3600,台塑四寶股東人數變多了 達78.5萬人...台塑增加三成最多,https://money.udn.com/money/story/5607/8021890?from=edn_hottestlist_rank,2024-06-11 02:37
經濟日報 記者楊伶雯／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29753349.jpg&s=Y&x=0&y=0&sw=5307&sh=3474&sl=W&fw=300&exp=3600,黃仁勳旋風後多檔概念股休息 唯獨這檔已連飆6根漲停,https://money.udn.com/money/story/5607/8023010?from=edn_hottestlist_rank,2024-06-11 13:00
經濟日報 記者張瀞文／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/24/2/29527203.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600,"高盛看奇鋐：受惠於液冷散熱需求大 目標價1,026元",https://money.udn.com/money/story/5607/8021829?from=edn_hottestlist_rank,2024-06-10 22:03
經濟日報 記者吳康瑋／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29797076.jpg&s=Y&x=0&y=7&sw=1049&sh=698&sl=W&fw=300&exp=3600,仁寶營收將揭曉 陳瑞聰接董座後首次公布 引市場關注,https://money.udn.com/money/story/5710/8022312?from=edn_hottestlist_rank,2024-06-11 09:19
經濟日報 本報訊,https://udn.com/upf/2017_news/noimg_cid1001_5.jpg,6月11日 五件財經大事搶先看,https://money.udn.com/money/story/5607/8022135?from=edn_hottestlist_rank,2024-06-11 03:59
經濟日報 記者楊伶雯／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/05/2/29765302.jpg&s=Y&x=0&y=0&sw=1278&sh=852&sl=W&fw=300&exp=3600,日本今年來「食人菌」病例破紀錄 這幾檔防疫股強漲,https://money.udn.com/money/story/5607/8022696?from=edn_hottestlist_rank,2024-06-11 11:24
經濟日報 記者張瀞文／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/2/29794410.jpg&s=Y&x=0&y=0&sw=1238&sh=825&sl=W&fw=300&exp=3600,"台股三題材支撐多頭行情 法人看好大盤月底前衝22,500",https://money.udn.com/money/story/5607/8021973?from=edn_hottestlist_rank,2024-06-11 03:27
經濟日報 記者李孟珊／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/03/08/2/29149449.jpg&s=Y&x=0&y=92&sw=1133&sh=756&sl=W&fw=300&exp=3600,漢磊衝第三代半導體,https://money.udn.com/money/story/11074/8021662?from=edn_hottestlist_rank,2024-06-10 23:46
經濟日報 記者尹慧中／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/02/realtime/29590790.jpg&s=Y&x=0&y=0&sw=1133&sh=754&sl=W&fw=300&exp=3600,PCB 廠迎蘋果 iPhone 16商機,https://money.udn.com/money/story/5607/8021721?from=edn_hottestlist_rank,2024-06-10 23:45
經濟日報 記者楊伶雯／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/06/realtime/29769575.jpg&s=Y&x=0&y=0&sw=4680&sh=3080&sl=W&fw=300&exp=3600,台積電周四除息有望當日填息 股價續衝900元關卡,https://money.udn.com/money/story/5607/8022380?from=edn_hottestlist_rank,2024-06-11 09:51
經濟日報 記者吳康瑋／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29796705.jpeg&s=Y&x=0&y=6&sw=861&sh=574&sl=W&fw=300&exp=3600,緯穎除息秀登場！每股42元、大股東緯創將入袋逾27.67億元巨款,https://money.udn.com/money/story/5710/8022218?from=edn_hottestlist_rank,2024-06-11 07:57
