src,title,url,date,pic_url
經濟日報 記者黃晶琳／台北即時報導,你手機支援 VoLTE 了嗎？到遠傳檢測 送全聯禮券或衛生紙,https://money.udn.com/money/story/5612/7991120?from=edn_hottestlist_rank,2024-05-27 14:10,https://udn.com/upf/2017_news/noimg_cid1001_2.jpg
經濟日報 記者魏鑫陽／台北即時報導,康普集團股東會／旗下公司股利配發0.8、0.7元 董座：今年審慎樂觀,https://money.udn.com/money/story/5612/7991067?from=edn_hottestlist_rank,2024-05-27 13:49,https://udn.com/upf/2017_news/noimg_cid1001_9.jpg
經濟日報 記者黃晶琳／台北即時報導,大豐電股東會／通過每股配發3元股利,https://money.udn.com/money/story/5612/7991135?from=edn_hottestlist_rank,2024-05-27 14:16,https://udn.com/upf/2017_news/noimg_cid1001_1.jpg
經濟日報 記者楊伶雯／台北即時報導,巧新股東會／通過2.01元現金股利 配發率近7成,https://money.udn.com/money/story/5612/7991142?from=edn_hottestlist_rank,2024-05-27 14:19,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg
經濟日報 記者李泠秭／台北即時報導,三星推新品 AI 應用於桌上型顯示器,https://money.udn.com/money/story/5612/7991156?from=edn_hottestlist_rank,2024-05-27 14:27,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg
經濟日報 記者周克威／台北報導,AI 一條龍行情有戲 台股利多題材助攻掀高潮,https://money.udn.com/money/story/5607/7989991?from=edn_hottestlist_rank,2024-05-27 03:36,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/24/2/29524236.jpg&s=Y&x=0&y=0&sw=1238&sh=825&sl=W&fw=300&exp=3600
經濟日報 記者楊伶雯／台北即時報導,Nvidia 黃仁勳來了 機器人股漲不停 這幾檔飆漲停,https://money.udn.com/money/story/5607/7990600?from=edn_hottestlist_rank,2024-05-27 11:01,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/realtime/29709084.jpg&s=Y&x=0&y=0&sw=1889&sh=1259&sl=W&fw=300&exp=3600
經濟日報 記者張瀞文／台北即時報導,富邦金5月23日法說後 外資證券紛紛調高目標價...上看80.5,https://money.udn.com/money/story/5607/7989802?from=edn_hottestlist_rank,2024-05-26 21:50,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/2/29704418.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者邱馨儀／台北報導,法人機構預期 陽明、萬海今年可賺一股本,https://money.udn.com/money/story/5607/7989990?from=edn_hottestlist_rank,2024-05-27 03:19,https://udn.com/upf/2017_news/noimg_cid1001_6.jpg
經濟日報 本報訊,5月27日 五件財經大事搶先看,https://money.udn.com/money/story/5607/7990137?from=edn_hottestlist_rank,2024-05-27 04:31,https://udn.com/upf/2017_news/noimg_cid1001_4.jpg
經濟日報 記者楊伶雯／台北即時報導,鴻海搶食機器人商機 股價飆16年新高、鴻準衝漲停,https://money.udn.com/money/story/5710/7990349?from=edn_hottestlist_rank,2024-05-27 09:45,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/09/2/29636093.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者廖賢龍／即時報導,"Nvidia 黃仁勳來台 AI 鏈發威 台股早盤大漲逾200點站上21,800點",https://money.udn.com/money/story/5607/7990286?from=edn_hottestlist_rank,2024-05-27 09:08,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/2/29705449.jpg&s=Y&x=0&y=0&sw=512&sh=341&sl=W&fw=300&exp=3600
經濟日報 記者蔡靜紋／台北即時報導,輝達執行長黃仁勳提前抵台 法人直指就為「這件事」,https://money.udn.com/money/story/5607/7989915?from=edn_hottestlist_rank,2024-05-26 23:07,https://udn.com/upf/2017_news/noimg_cid1001_3.jpg
經濟日報 記者李孟珊／台北報導,矽格熱轉三大接單動能,https://money.udn.com/money/story/5710/7989606?from=edn_hottestlist_rank,2024-05-27 01:03,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/26/realtime/29716665.jpg&s=Y&x=0&y=76&sw=944&sh=629&sl=W&fw=300&exp=3600
經濟日報 王郁倫/台北即時報導,銅價衝高、重電業股價都回檔了 業者怎麼說？,https://money.udn.com/money/story/5607/7990263?from=edn_hottestlist_rank,2024-05-27 08:52,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/10/realtime/29640972.jpg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600
經濟日報 記者蘇嘉維／台北即時報導,Computex 下周有望釋 AI 新進展 聯發科股價衝新天價　,https://money.udn.com/money/story/5710/7990365?from=edn_hottestlist_rank,2024-05-27 09:52,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/12/2/29426423.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者吳康瑋／台北報導,戴爾搶市 帶旺廣達、鴻海,https://money.udn.com/money/story/5710/7989627?from=edn_hottestlist_rank,2024-05-27 01:11,https://udn.com/upf/2017_news/noimg_cid1001_9.jpg
