date,url,pic_url,title,src
2024-06-08 01:19,https://money.udn.com/money/story/5607/8017805?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/08/2/29780826.jpg&s=Y&x=0&y=64&sw=1169&sh=780&sl=W&fw=300&exp=3600,代工四雄營收 寫最旺5月 廣達重返千億元大關,經濟日報 記者林薏茹／台北報導
2024-06-07 20:36,https://money.udn.com/money/story/5607/8017585?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/03/26/2/29288646.jpg&s=Y&x=0&y=0&sw=1279&sh=853&sl=W&fw=300&exp=3600,本周台股千張大戶增32戶 大戶群居高思危,經濟日報 記者崔馨方／即時報導
2024-06-07 17:56,https://money.udn.com/money/story/5607/8017342?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_1.jpg,黃仁勳旋風來台兩周輝達股價飆新高 台供應鏈開趴卻只有這檔自己嗨,經濟日報 記者徐牧民/台北即時報導
2024-06-08 01:46,https://money.udn.com/money/story/5607/8017973?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_8.jpg,6月8日 五件財經大事搶先看,經濟日報 本報訊
2024-06-07 16:42,https://money.udn.com/money/story/5710/8017121?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/07/realtime/29778799.jpg&s=Y&x=0&y=11&sw=1477&sh=984&sl=W&fw=300&exp=3600,英業達營收／5月521.8億元、創26個月新高 累計年增15%,經濟日報 記者林薏茹／台北即時報導
2024-06-08 01:36,https://money.udn.com/money/story/5607/8017861?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/08/2/29780889.jpg&s=Y&x=0&y=0&sw=512&sh=341&sl=W&fw=300&exp=3600,15檔投信作帳 攻堅悍將 有望扮領頭羊,經濟日報 記者高瑜君／台北報導
2024-06-07 19:47,https://money.udn.com/money/story/5607/8017518?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/07/2/29779961.jpg&s=Y&x=0&y=0&sw=1007&sh=671&sl=W&fw=300&exp=3600,今日最夯股／電線電纜族群全面走揚 華榮打出第二隻腳,經濟日報 記者崔馨方、新媒體中心／台北報導
2024-06-08 01:20,https://money.udn.com/money/story/5607/8017806?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/08/2/29780825.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600,聯發科5月營收微增 外資看好後市 Q2財測可達標,經濟日報 記者李孟珊／台北報導
2024-06-07 17:50,https://money.udn.com/money/story/5710/8017327?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_4.jpg,美時營收／5月15.5億、年增17.5% 主因美國血癌藥出貨增加,經濟日報 記者謝柏宏／即時報導
2024-06-07 16:37,https://money.udn.com/money/story/5710/8017117?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/07/realtime/29778792.jpg&s=Y&x=0&y=8&sw=1170&sh=780&sl=W&fw=300&exp=3600,英業達營收／5月521.8億元、年月續揚 登近26個新高,經濟日報 記者吳康瑋／台北即時報導
